,Manager_Name,Player_Name,NFL_Team,col_count,Player_Abbr,Wildcard,Division,Conference,Super Bowl,Super Bowl Winner
199,Dub season ,Matthew Stafford,LA,2,M.Stafford,True,True,True,False,False
200,Dub season ,Caleb Williams,CHI,3,C.Williams,True,True,False,False,False
201,Dub season ,C.J. Stroud,HOU,3,C.Stroud,True,True,False,False,False
202,Dub season ,Saquon Barkley,PHI,3,S.Barkley,True,False,False,False,False
203,Dub season ,Travis Etienne,JAX,3,T.Etienne,True,False,False,False,False
204,Dub season ,Josh Jacobs,GB,2,J.Jacobs,True,False,False,False,False
205,Dub season ,Ty Johnson,BUF,14,Ty.Johnson,True,True,False,False,False
206,Dub season ,Puka Nacua,LA,2,P.Nacua,True,True,True,False,False
207,Dub season ,Nico Collins,HOU,3,N.Collins,True,True,False,False,False
208,Dub season ,Parker Washington,JAX,3,P.Washington,True,False,False,False,False
209,Dub season ,Jayden Higgins,HOU,3,J.Higgins,True,True,False,False,False
210,Dub season ,Brandin Cooks,BUF,3,B.Cooks,True,True,False,False,False
211,Dub season ,Dontayvion Wicks,GB,18,D.Wicks,True,False,False,False,False
212,Dub season ,Dallas Goedert,PHI,3,D.Goedert,True,False,False,False,False
213,Dub season ,Colston Loveland,CHI,3,C.Loveland,True,True,False,False,False
214,Dub season ,Dalton Schultz,HOU,3,D.Schultz,True,True,False,False,False
215,Dub season ,Luke Musgrave,GB,2,L.Musgrave,True,False,False,False,False
216,HoosierDaddy / Greg McBride,Drake Maye,NE,2,D.Maye,True,True,True,True,False
217,HoosierDaddy / Greg McBride,Jalen Hurts,PHI,3,J.Hurts,True,False,False,False,False
218,HoosierDaddy / Greg McBride,Bo Nix,DEN,3,B.Nix,False,True,True,False,False
219,HoosierDaddy / Greg McBride,C.J. Stroud,HOU,3,C.Stroud,True,True,False,False,False
220,HoosierDaddy / Greg McBride,Christian McCaffrey,SF,2,C.McCaffrey,True,True,False,False,False
221,HoosierDaddy / Greg McBride,Travis Etienne,JAX,3,T.Etienne,True,False,False,False,False
222,HoosierDaddy / Greg McBride,Josh Jacobs,GB,2,J.Jacobs,True,False,False,False,False
223,HoosierDaddy / Greg McBride,Rico Dowdle,CAR,3,R.Dowdle,True,False,False,False,False
224,HoosierDaddy / Greg McBride,Puka Nacua,LA,2,P.Nacua,True,True,True,False,False
225,HoosierDaddy / Greg McBride,Nico Collins,HOU,3,N.Collins,True,True,False,False,False
226,HoosierDaddy / Greg McBride,Kayshon Boutte,NE,2,K.Boutte,True,True,True,True,False
227,HoosierDaddy / Greg McBride,Keenan Allen,LAC,3,K.Allen,True,False,False,False,False
228,HoosierDaddy / Greg McBride,DeMario Douglas,NE,2,D.Douglas,True,True,True,True,False
229,HoosierDaddy / Greg McBride,Tutu Atwell,LA,17,T.Atwell,True,True,True,False,False
230,HoosierDaddy / Greg McBride,George Kittle,SF,2,G.Kittle,True,True,False,False,False
231,HoosierDaddy / Greg McBride,Brenton Strange,JAX,3,B.Strange,True,False,False,False,False
232,HoosierDaddy / Greg McBride,Terrance Ferguson,LA,2,T.Ferguson,True,True,True,False,False
233,HoosierDaddy / Greg McBride,Austin Hooper,NE,2,A.Hooper,True,True,True,True,False
234,KaiBearMom/Gigi,Josh Allen,BUF,3,J.Allen,True,True,False,False,False
235,KaiBearMom/Gigi,Jalen Hurts,PHI,3,J.Hurts,True,False,False,False,False
236,KaiBearMom/Gigi,Bo Nix,DEN,3,B.Nix,False,True,True,False,False
237,KaiBearMom/Gigi,Jordan Love,GB,2,J.Love,True,False,False,False,False
238,KaiBearMom/Gigi,Christian McCaffrey,SF,2,C.McCaffrey,True,True,False,False,False
239,KaiBearMom/Gigi,Kyle Monangai,CHI,3,K.Monangai,True,True,False,False,False
240,KaiBearMom/Gigi,Jaylen Warren,PIT,3,J.Warren,True,False,False,False,False
241,KaiBearMom/Gigi,Ty Johnson,BUF,14,Ty.Johnson,True,True,False,False,False
242,KaiBearMom/Gigi,Davante Adams,LA,2,D.Adams,True,True,True,False,False
243,KaiBearMom/Gigi,Khalil Shakir,BUF,3,K.Shakir,True,True,False,False,False
244,KaiBearMom/Gigi,Quentin Johnston,LAC,3,Q.Johnston,True,False,False,False,False
245,KaiBearMom/Gigi,Cooper Kupp,SEA,3,C.Kupp,False,True,True,True,True
246,KaiBearMom/Gigi,Brandin Cooks,BUF,3,B.Cooks,True,True,False,False,False
247,KaiBearMom/Gigi,Tutu Atwell,LA,17,T.Atwell,True,True,True,False,False
248,KaiBearMom/Gigi,Dallas Goedert,PHI,3,D.Goedert,True,False,False,False,False
249,KaiBearMom/Gigi,Dalton Kincaid,BUF,3,D.Kincaid,True,True,False,False,False
250,KaiBearMom/Gigi,Tyler Higbee,LA,2,T.Higbee,True,True,True,False,False
251,KaiBearMom/Gigi,Luke Musgrave,GB,2,L.Musgrave,True,False,False,False,False
252,Bye Felicia,Trevor Lawrence,JAX,3,T.Lawrence,True,False,False,False,False
253,Bye Felicia,Matthew Stafford,LA,2,M.Stafford,True,True,True,False,False
254,Bye Felicia,Sam Darnold,SEA,3,S.Darnold,False,True,True,True,True
255,Bye Felicia,C.J. Stroud,HOU,3,C.Stroud,True,True,False,False,False
256,Bye Felicia,Kenneth Walker III,SEA,3,K.Walker,False,True,True,True,True
257,Bye Felicia,Travis Etienne,JAX,3,T.Etienne,True,False,False,False,False
258,Bye Felicia,Josh Jacobs,GB,2,J.Jacobs,True,False,False,False,False
259,Bye Felicia,Ty Johnson,BUF,14,Ty.Johnson,True,True,False,False,False
260,Bye Felicia,Jaxon Smith-Njigba,SEA,3,J.Smith-Njigba,False,True,True,True,True
261,Bye Felicia,Jakobi Meyers,JAX,3,J.Meyers,True,False,False,False,False
262,Bye Felicia,Kayshon Boutte,NE,2,K.Boutte,True,True,True,True,False
263,Bye Felicia,Cooper Kupp,SEA,3,C.Kupp,False,True,True,True,True
264,Bye Felicia,Brandin Cooks,BUF,3,B.Cooks,True,True,False,False,False
265,Bye Felicia,Marvin Mims Jr.,DEN,3,M.Mims,False,True,True,False,False
266,Bye Felicia,Dallas Goedert,PHI,3,D.Goedert,True,False,False,False,False
267,Bye Felicia,Dawson Knox,BUF,3,D.Knox,True,True,False,False,False
268,Bye Felicia,AJ Barner,SEA,3,A.Barner,False,True,True,True,True
269,Bye Felicia,Pat Freiermuth,PIT,3,P.Freiermuth,True,False,False,False,False
270,"Ass Whipping Commencing in 3, 2, 1…",Josh Allen,BUF,3,J.Allen,True,True,False,False,False
271,"Ass Whipping Commencing in 3, 2, 1…",Brock Purdy,SF,2,B.Purdy,True,True,False,False,False
272,"Ass Whipping Commencing in 3, 2, 1…",Bo Nix,DEN,3,B.Nix,False,True,True,False,False
273,"Ass Whipping Commencing in 3, 2, 1…",C.J. Stroud,HOU,3,C.Stroud,True,True,False,False,False
274,"Ass Whipping Commencing in 3, 2, 1…",Saquon Barkley,PHI,3,S.Barkley,True,False,False,False,False
275,"Ass Whipping Commencing in 3, 2, 1…",James Cook,BUF,3,J.Cook,True,True,False,False,False
276,"Ass Whipping Commencing in 3, 2, 1…",Jaylen Warren,PIT,3,J.Warren,True,False,False,False,False
277,"Ass Whipping Commencing in 3, 2, 1…",Ty Johnson,BUF,14,Ty.Johnson,True,True,False,False,False
278,"Ass Whipping Commencing in 3, 2, 1…",DeVonta Smith,PHI,3,D.Smith,True,False,False,False,False
279,"Ass Whipping Commencing in 3, 2, 1…",Stefon Diggs,NE,2,S.Diggs,True,True,True,True,False
280,"Ass Whipping Commencing in 3, 2, 1…",Parker Washington,JAX,3,P.Washington,True,False,False,False,False
281,"Ass Whipping Commencing in 3, 2, 1…",DK Metcalf,PIT,3,D.Metcalf,True,False,False,False,False
282,"Ass Whipping Commencing in 3, 2, 1…",Brandin Cooks,BUF,3,B.Cooks,True,True,False,False,False
283,"Ass Whipping Commencing in 3, 2, 1…",Tutu Atwell,LA,17,T.Atwell,True,True,True,False,False
284,"Ass Whipping Commencing in 3, 2, 1…",George Kittle,SF,2,G.Kittle,True,True,False,False,False
285,"Ass Whipping Commencing in 3, 2, 1…",Dalton Kincaid,BUF,3,D.Kincaid,True,True,False,False,False
